route_id,trip_id,trip_headsign,service_id,shape_id
11,745,ANILLO VIAL (SECAP) - RT086,0,24A
11,854,ANILLO VIAL (SECAP) - RT040,0,24A
11,818,ANILLO VIAL (SECAP) - RT098,0,24A
11,856,ANILLO VIAL (SECAP) - RT085,0,24A
11,857,ANILLO VIAL (SECAP) - RT098,0,24A
11,850,ANILLO VIAL (SECAP) - RT056,0,24A
11,851,ANILLO VIAL (SECAP) - RT085,0,24A
11,852,ANILLO VIAL (SECAP) - RT005,0,24A
4,345,VILLA FLORIDA - BRISAS - RT042,0,4A
11,858,ANILLO VIAL (SECAP) - RT040,0,24A
11,859,ANILLO VIAL (SECAP) - RT020,0,24A
11,748,ANILLO VIAL (SECAP) - RT040,0,24A
0,6,GALLERA - EPACEM - RT065,0,1
11,848,ANILLO VIAL (SECAP) - RT97,0,24A
1,99,PARAISO - U. CATOLICA - RT013,0,2
1,98,PARAISO - U. CATOLICA - RT063,0,2
11,844,ANILLO VIAL (SECAP) - RT086,0,24A
1,91,PARAISO - U. CATOLICA - RT063,0,2
1,90,PARAISO - U. CATOLICA - RT047,0,2
1,93,PARAISO - U. CATOLICA - RT030,0,2
1,92,PARAISO - U. CATOLICA - RT013,0,2
1,95,PARAISO - U. CATOLICA - RT093,0,2
1,94,PARAISO - U. CATOLICA - RT004,0,2
1,97,PARAISO - U. CATOLICA - RT047,0,2
1,96,PARAISO - U. CATOLICA - RT089,0,2
11,814,ANILLO VIAL (SECAP) - RT056,0,24A
11,815,ANILLO VIAL (SECAP) - RT085,0,24A
11,740,ANILLO VIAL (SECAP) - RT97,0,24A
11,741,ANILLO VIAL (SECAP) - RT020,0,24A
11,742,ANILLO VIAL (SECAP) - RT056,0,24A
11,743,ANILLO VIAL (SECAP) - RT085,0,24A
8,559,SANTA MARIA DEL TOACHI - RT028,0,5C
8,558,SANTA MARIA DEL TOACHI - RT091,0,5C
11,746,ANILLO VIAL (SECAP) - RT098,0,24A
11,747,ANILLO VIAL (SECAP) - RT023,0,24A
6,555,BURNEO - BRISAS - RT072,0,5A
6,554,BURNEO - BRISAS - RT044,0,5A
8,557,SANTA MARIA DEL TOACHI - RT021,0,5C
6,556,BURNEO - BRISAS - RT052,0,5A
6,551,BURNEO - BRISAS - RT018,0,5A
6,550,BURNEO - BRISAS - RT068,0,5A
6,553,BURNEO - BRISAS - RT036,0,5A
6,552,BURNEO - BRISAS - RT001,0,5A
4,238,VILLA FLORIDA - BRISAS - RT064,0,4A
4,239,VILLA FLORIDA - BRISAS - RT058,0,4A
2,234,HERIBERTO M. - RT073,0,3A-3B
2,235,HERIBERTO M. - RT062,0,3A-3B
2,236,HERIBERTO M. - RT046,0,3A-3B
2,237,HERIBERTO M. - RT083,0,3A-3B
2,230,HERIBERTO M. - RT038,0,3A-3B
2,231,HERIBERTO M. - RT071,0,3A-3B
2,232,HERIBERTO M. - RT092,0,3A-3B
2,233,HERIBERTO M. - RT029,0,3A-3B
0,1,GALLERA - EPACEM - RT074,0,1
8,614,SANTA MARIA DEL TOACHI - RT055,0,5C
2,146,HERIBERTO M. - RT073,0,3A-3B
2,147,HERIBERTO M. - RT062,0,3A-3B
2,144,HERIBERTO M. - RT092,0,3A-3B
2,145,HERIBERTO M. - RT029,0,3A-3B
1,142,PARAISO - U. CATOLICA - RT030,0,2
2,143,HERIBERTO M. - RT071,0,3A-3B
1,140,PARAISO - U. CATOLICA - RT063,0,2
1,141,PARAISO - U. CATOLICA - RT013,0,2
8,612,SANTA MARIA DEL TOACHI - RT053,0,5C
8,613,SANTA MARIA DEL TOACHI - RT-0082,0,5C
8,610,SANTA MARIA DEL TOACHI - RT091,0,5C
8,611,SANTA MARIA DEL TOACHI - RT028,0,5C
8,616,SANTA MARIA DEL TOACHI - RT070,0,5C
8,617,SANTA MARIA DEL TOACHI - RT002,0,5C
2,148,HERIBERTO M. - RT046,0,3A-3B
2,149,HERIBERTO M. - RT083,0,3A-3B
11,768,ANILLO VIAL (SECAP) - RT020,0,24A
11,689,ANILLO VIAL (SECAP) - RT085,0,24A
11,688,ANILLO VIAL (SECAP) - RT056,0,24A
11,685,ANILLO VIAL (SECAP) - RT040,0,24A
11,684,ANILLO VIAL (SECAP) - RT023,0,24A
11,687,ANILLO VIAL (SECAP) - RT020,0,24A
11,686,ANILLO VIAL (SECAP) - RT97,0,24A
11,681,ANILLO VIAL (SECAP) - RT005,0,24A
11,680,ANILLO VIAL (SECAP) - RT085,0,24A
11,683,ANILLO VIAL (SECAP) - RT098,0,24A
11,682,ANILLO VIAL (SECAP) - RT086,0,24A
8,623,SANTA MARIA DEL TOACHI - RT091,0,5C
11,819,ANILLO VIAL (SECAP) - RT023,0,24A
8,622,SANTA MARIA DEL TOACHI - RT021,0,5C
1,133,PARAISO - U. CATOLICA - RT063,0,2
1,132,PARAISO - U. CATOLICA - RT047,0,2
1,131,PARAISO - U. CATOLICA - RT089,0,2
1,130,PARAISO - U. CATOLICA - RT093,0,2
1,137,PARAISO - U. CATOLICA - RT093,0,2
1,136,PARAISO - U. CATOLICA - RT004,0,2
1,135,PARAISO - U. CATOLICA - RT030,0,2
1,134,PARAISO - U. CATOLICA - RT013,0,2
6,494,BURNEO - BRISAS - RT044,0,5A
6,495,BURNEO - BRISAS - RT072,0,5A
1,139,PARAISO - U. CATOLICA - RT047,0,2
1,138,PARAISO - U. CATOLICA - RT089,0,2
6,490,BURNEO - BRISAS - RT068,0,5A
6,491,BURNEO - BRISAS - RT018,0,5A
6,492,BURNEO - BRISAS - RT001,0,5A
6,493,BURNEO - BRISAS - RT036,0,5A
0,24,GALLERA - EPACEM - RT006,0,1
0,25,GALLERA - EPACEM - RT074,0,1
